Data_Hora;Pot_Gerador_MW;Pot_Reator_MW
16/08/2020 20:00:00;2,72444;63,80046
16/08/2020 20:10:00;2,72444;63,80046
16/08/2020 20:20:00;2,72444;65,01685
16/08/2020 20:30:00;2,72444;63,69966
16/08/2020 20:40:00;2,72444;63,69966
16/08/2020 20:50:00;2,59471;63,80046
16/08/2020 21:00:00;2,59471;63,59678
16/08/2020 21:10:00;2,72444;63,69966
16/08/2020 21:20:00;2,59471;63,08869
16/08/2020 21:30:00;2,72444;63,8015
16/08/2020 21:40:00;2,59471;64,00302
16/08/2020 21:50:00;2,59471;63,80178
16/08/2020 22:00:00;2,72444;63,69966
16/08/2020 22:10:00;2,72444;64,40559
16/08/2020 22:20:00;2,72444;64,31223
16/08/2020 22:30:00;2,59471;63,90259
16/08/2020 22:40:00;2,59471;63,69966
16/08/2020 22:50:00;2,59471;63,69966
16/08/2020 23:00:00;2,72444;63,69966
16/08/2020 23:10:00;2,59471;63,80046
16/08/2020 23:20:00;2,72444;63,69966
16/08/2020 23:30:00;2,59471;63,80046
16/08/2020 23:40:00;2,59471;63,69966
16/08/2020 23:50:00;2,72444;63,69966
17/08/2020;2,59471;63,80046
17/08/2020 00:10:00;2,72444;64,50603
17/08/2020 00:20:00;2,59471;63,09453
17/08/2020 00:30:00;2,59471;63,19534
17/08/2020 00:40:00;2,72444;63,6973
17/08/2020 00:50:00;2,72444;63,10187
17/08/2020 01:00:00;2,59471;63,09453
17/08/2020 01:10:00;2,72444;61,1677
17/08/2020 01:20:00;2,72444;61,37025
17/08/2020 01:30:00;2,72444;61,37025
17/08/2020 01:40:00;2,72444;63,09453
17/08/2020 01:50:00;2,59471;61,1677
17/08/2020 02:00:00;2,72444;61,97313
17/08/2020 02:10:00;2,72444;61,47106
17/08/2020 02:20:00;2,72444;62,6849
17/08/2020 02:30:00;2,59471;61,37025
17/08/2020 02:40:00;2,59471;61,26982
17/08/2020 02:50:00;2,72444;62,08203
17/08/2020 03:00:00;2,59471;62,58409
17/08/2020 03:10:00;2,72444;61,78026
17/08/2020 03:20:00;2,59471;61,26813
17/08/2020 03:30:00;2,72444;61,26851
17/08/2020 03:40:00;2,72444;61,1677
17/08/2020 03:50:00;2,72444;62,58409
17/08/2020 04:00:00;2,72444;61,98122
17/08/2020 04:10:00;2,72444;61,88079
17/08/2020 04:20:00;2,72444;61,87909
17/08/2020 04:30:00;2,72444;63,09679
17/08/2020 04:40:00;2,72444;63,09293
17/08/2020 04:50:00;2,59471;62,48592
17/08/2020 05:00:00;2,72444;61,36893
17/08/2020 05:10:00;2,72444;61,26813
17/08/2020 05:20:00;2,72444;60,85849
17/08/2020 05:30:00;2,59471;62,39433
17/08/2020 05:40:00;2,72444;61,07846
17/08/2020 05:50:00;2,72444;61,1789
17/08/2020 06:00:00;2,72444;60,56793
17/08/2020 06:10:00;2,72444;59,96534
17/08/2020 06:20:00;2,72444;60,67589
17/08/2020 06:30:00;2,59471;61,79146
17/08/2020 06:40:00;2,72444;61,18059
17/08/2020 06:50:00;2,72444;59,96516
17/08/2020 07:00:00;2,59471;61,1789
17/08/2020 07:10:00;2,72444;61,78177
17/08/2020 07:20:00;2,72444;59,26016
17/08/2020 07:30:00;2,72444;59,46309
17/08/2020 07:40:00;2,72444;59,87272
17/08/2020 07:50:00;2,59471;62,40497
17/08/2020 08:00:00;2,59471;63,42001
17/08/2020 08:10:00;2,72444;59,26044
17/08/2020 08:20:00;2,59471;60,57772
17/08/2020 08:30:00;2,72444;61,09616
