Data_Hora;Pot_Gerador_MW;Pot_Reator_MW
16/06/2020 18:30:00;1142,31995;3249,98389
16/06/2020 18:40:00;1142,70996;3242,81592
16/06/2020 18:50:00;1142,44995;3238,28491
16/06/2020 19:00:00;1141,41199;3214,6311
16/06/2020 19:10:00;1143,48804;3239,95288
16/06/2020 19:20:00;1144,396;3253,41211
16/06/2020 19:30:00;1141,93103;3235,60498
16/06/2020 19:40:00;1142,96899;3231,15796
16/06/2020 19:50:00;1141,802;3245,10596
16/06/2020 20:00:00;1142,83899;3241,75098
16/06/2020 20:10:00;1142,83899;3229,23291
16/06/2020 20:20:00;1141,93103;3225,17505
16/06/2020 20:30:00;1145,69299;3247,95093
16/06/2020 20:40:00;1141,54199;3225,09692
16/06/2020 20:50:00;1141,802;3242,09399
16/06/2020 21:00:00;1142,19104;3236,16699
16/06/2020 21:10:00;1142,96899;3243,28809
16/06/2020 21:20:00;1142,06104;3227,2019
16/06/2020 21:30:00;1142,31995;3244,22705
16/06/2020 21:40:00;1142,57996;3241,93311
16/06/2020 21:50:00;1144,65601;3233,00708
16/06/2020 22:00:00;1143,099;3249,38794
16/06/2020 22:10:00;1145,17505;3240,3291
16/06/2020 22:20:00;1141,802;3242,05298
16/06/2020 22:30:00;1142,06104;3236,70605
16/06/2020 22:40:00;1142,19104;3230,60303
16/06/2020 22:50:00;1143,35803;3225,35107
16/06/2020 23:00:00;1142,57996;3234,26709
16/06/2020 23:10:00;1142,70996;3228,72803
16/06/2020 23:20:00;1142,44995;3228,57495
16/06/2020 23:30:00;1142,57996;3230,37402
16/06/2020 23:40:00;1142,44995;3231,83789
16/06/2020 23:50:00;1141,28296;3258,19702
17/06/2020;1141,93103;3234,40894
17/06/2020 00:10:00;1141,02295;3226,69409
17/06/2020 00:20:00;1142,83899;3220,17896
17/06/2020 00:30:00;1142,19104;3249,36401
17/06/2020 00:40:00;1144,00696;3239,24902
17/06/2020 00:50:00;1141,93103;3240,32104
17/06/2020 01:00:00;1141,93103;3233,75293
17/06/2020 01:10:00;1142,31995;3242,53198
17/06/2020 01:20:00;1141,802;3234,79199
17/06/2020 01:30:00;1142,57996;3230,16797
17/06/2020 01:40:00;1141,41199;3249,198
17/06/2020 01:50:00;1142,19104;3228,68994
17/06/2020 02:00:00;1142,70996;3235,03906
17/06/2020 02:10:00;1142,44995;3213,96899
17/06/2020 02:20:00;1143,099;3238,03711
17/06/2020 02:30:00;1141,41199;3227,90991
17/06/2020 02:40:00;1141,28296;3244,9021
17/06/2020 02:50:00;1142,96899;3246,17505
17/06/2020 03:00:00;1142,31995;3244,01611
17/06/2020 03:10:00;1141,54199;3233,33911
17/06/2020 03:20:00;1142,57996;3238,99902
17/06/2020 03:30:00;1143,229;3254,14209
17/06/2020 03:40:00;1141,672;3244,84497
17/06/2020 03:50:00;1143,61804;3250,03711
17/06/2020 04:00:00;1142,57996;3234,09009
17/06/2020 04:10:00;1142,31995;3230,3269
17/06/2020 04:20:00;1142,31995;3214,23389
17/06/2020 04:30:00;1142,70996;3243,68311
17/06/2020 04:40:00;1141,672;3225,24194
17/06/2020 04:50:00;1142,44995;3238,8479
17/06/2020 05:00:00;1141,15295;3230,40698
17/06/2020 05:10:00;1142,44995;3245,96802
17/06/2020 05:20:00;1142,70996;3233,43408
17/06/2020 05:30:00;1143,74805;3215,76709
17/06/2020 05:40:00;1141,54199;3251,46704
17/06/2020 05:50:00;1142,96899;3247,0769
17/06/2020 06:00:00;1142,06104;3246,34399
17/06/2020 06:10:00;1143,48804;3237,90405
17/06/2020 06:20:00;1143,229;3243,06494
17/06/2020 06:30:00;1142,96899;3231,96094
17/06/2020 06:40:00;1143,099;3240,37793
17/06/2020 06:50:00;1143,74805;3235,50195
17/06/2020 07:00:00;1142,44995;3252,08789
17/06/2020 07:10:00;1144,396;3263,10498
17/06/2020 07:20:00;1142,57996;3239,54199
17/06/2020 07:30:00;1142,44995;3233,81592
17/06/2020 07:40:00;1142,31995;3220,40991
17/06/2020 07:50:00;1142,57996;3227,92505
17/06/2020 08:00:00;1141,672;3234,64893
17/06/2020 08:10:00;1142,83899;3236,84912
17/06/2020 08:20:00;1142,83899;3232,18994
17/06/2020 08:30:00;1141,41199;3235,99194
17/06/2020 08:40:00;1142,83899;3226,64697
17/06/2020 08:50:00;1142,44995;3246,52197
17/06/2020 09:00:00;1142,19104;3226,77808
17/06/2020 09:10:00;1141,54199;3221,229
17/06/2020 09:20:00;1142,44995;3229,51904
17/06/2020 09:30:00;1142,83899;3241,46997
17/06/2020 09:40:00;1141,802;3230,52197
17/06/2020 09:50:00;1141,54199;3248,53809
17/06/2020 10:00:00;1143,099;3242,57397
17/06/2020 10:10:00;1141,93103;3240,15503
17/06/2020 10:20:00;1142,96899;3237,92798
17/06/2020 10:30:00;1142,57996;3231,31104
17/06/2020 10:40:00;1143,099;3238,73706
17/06/2020 10:50:00;1142,31995;3248,70093
17/06/2020 11:00:00;1143,48804;3231,69995
17/06/2020 11:10:00;1142,57996;3231,70703
17/06/2020 11:20:00;1141,54199;3246,88599
17/06/2020 11:30:00;1141,54199;3227,22705
17/06/2020 11:40:00;1142,06104;3233,13501
17/06/2020 11:50:00;1143,099;3227,21191
17/06/2020 12:00:00;1142,57996;3255,13599
17/06/2020 12:10:00;1142,96899;3225,81201
